close,rsi,rsi_price_line,rsi_signal_line,mbl,volume
99.86917746874428,76,71,81,97.8717939193694,838
99.53290199417086,45,40,50,97.54224395428744,331
99.6023368665854,60,55,65,97.6102901292537,496
99.74597504287848,23,18,28,97.75105554202091,538
99.98735132161276,28,23,33,97.9876042951805,971
100.30684727822357,33,28,38,98.3007103326591,675
100.73773596145803,32,27,37,98.72298124222887,240
100.31989525282867,45,40,50,98.3134973477721,206
99.32555702383564,26,21,31,97.33904588335893,505
98.86708395246106,23,18,28,96.88974227341184,570
98.30631444633418,58,53,63,96.3401881574075,727
98.38804641301822,74,69,79,96.42028548475785,424
99.05878520847037,71,66,76,97.07760950430097,867
98.57580790489389,31,26,36,96.60429174679601,862
98.42250168459604,63,58,68,96.45405165090412,309
98.64414604162262,25,20,30,96.67126312079016,459
98.41478466204155,53,48,58,96.44648896880072,954
98.72821102998195,41,36,46,96.7536468093823,173
98.98908357223662,49,44,54,97.00930190079188,659
98.26691090754422,77,72,82,96.30157268939332,534
98.42694388093953,72,67,77,96.45840500332073,459
98.61433691348743,32,27,37,96.64205017521769,281
98.59796827020017,45,40,50,96.62600890479617,229
98.19918393598242,64,59,69,96.23520025726276,233
97.66579281876304,44,39,49,95.71247696238777,265
97.3227838828856,51,46,56,95.37632820522789,219
97.84646672925477,22,17,27,95.88953739466967,565
97.84593358779846,78,73,83,95.88901491604248,970
97.54561969686384,54,49,59,95.59470730292657,579
97.45830626609302,38,33,43,95.50914014077115,243
97.85518471084298,33,28,38,95.89808101662612,585
97.15163991453187,31,26,36,95.20860711624123,451
98.06571853207383,51,46,56,96.10440416143236,741
97.6104258142769,50,45,55,95.65821729799136,644
98.01301152764474,68,63,73,96.05275129709185,972
98.08708624890225,42,37,47,96.12534452392421,750
98.609120979173,75,70,80,96.63693855958954,410
98.5302305636054,68,63,73,96.55962595233329,903
98.6463860324133,29,24,34,96.67345831176503,791
98.02046454800971,38,33,43,96.06005525704951,364
98.34593253634148,45,40,50,96.37901388561465,803
98.06937372694411,37,32,42,96.10798625240523,475
98.80036400799277,48,43,53,96.8243567278329,982
99.48538417960172,76,71,81,97.4956764960097,104
98.97240232941115,22,17,27,96.99295428282292,715
98.10681273223598,28,23,33,96.14467647759126,950
97.6387650957444,74,69,79,95.68598979382952,471
97.6985961735713,60,55,65,95.74462425009987,996
98.08012333348167,50,45,55,96.11852086681203,852
97.97039340316496,62,57,67,96.01098553510167,758
97.86600460398304,36,31,41,95.90868451190337,578
97.74128446049373,33,28,38,95.78645877128385,258
97.77888766662194,76,71,81,95.8233099132895,231
97.85243150204353,51,46,56,95.89538287200266,440
97.61210240367897,77,72,82,95.65986035560539,415
98.33315927400893,41,36,46,96.36649608852875,769
98.14034933274968,23,18,28,96.17754234609468,111
98.70727541223741,44,39,49,96.73312990399266,874
98.5481415709532,36,31,41,96.57717873953413,122
98.58018703557568,79,74,84,96.60858329486416,297
98.79953386275785,46,41,51,96.8235431855027,435
99.35428579330144,36,31,41,97.36720007743541,608
99.51555364368978,64,59,69,97.52524257081599,877
99.79082542965968,32,27,37,97.79500892106648,587
99.08872440813482,75,70,80,97.10694991997212,683
98.92685617012722,31,26,36,96.94831904672468,100
98.91208709646742,50,45,55,96.93384535453806,955
99.38145221462435,36,31,41,97.39382317033186,508
99.8805932570295,53,48,58,97.8829813918889,781
99.71233629898647,60,55,65,97.71808957300674,325
100.27733103255382,31,26,36,98.27178441190274,127
99.30259814547992,78,73,83,97.31654618257032,928
98.56113542831966,76,71,81,96.58991271975326,537
97.60074588626674,32,27,37,95.6487309685414,134
97.74486351167135,74,69,79,95.78996624143792,734
98.18140900413218,46,41,51,96.21778082404953,261
97.61755615808191,49,44,54,95.66520503492028,852
97.50520913246133,79,74,84,95.5551049498121,165
